,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name
PEG,500,205,300,A,BB,B,Public Service Enterprise Group Incorporated
AVB,500,298,300,A,BB,B,AvalonBay Communities
DFS,355,310,327,BB,BB,BB,Discover Financial Services
ROK,270,210,222,B,B,B,Rockwell Automation
KR,505,300,319,A,BB,BB,The Kroger Co.
VLO,550,348,357,A,BB,BB,Valero Energy Corporation
IFF,505,300,304,A,BB,BB,International Flavors & Fragrances Inc.
TROW,510,310,345,A,BB,BB,T. Rowe Price Group
AMP,381,272,311,BB,BB,B,Ameriprise Financial
STT,250,250,321,B,BB,B,State Street Corporation
CTVA,617,323,410,AA,BBB,BB,Corteva
ALL,515,220,300,A,BB,B,The Allstate Corporation
GLW,200,200,200,B,B,B,Corning Incorporated
OXY,413,300,374,BBB,BB,BB,Occidental Petroleum Corporation
DVN,385,300,305,BB,BB,BB,Devon Energy Corporation
YUM,510,300,305,A,BB,BB,Yum! Brands
WMB,350,300,300,BB,BB,BB,The Williams Companies
APTV,510,305,328,A,BB,BB,Aptiv PLC
ALGN,235,255,265,B,B,B,Align Technology
WELL,462,300,315,BBB,BB,BB,WELL Health Technologies Corp.
PPG,350,260,305,BB,BB,B,PPG Industries
XEL,277,205,208,B,B,B,Xcel Energy Inc.
DXCM,210,210,228,B,B,B,DexCom
PSX,238,330,451,B,BBB,BB,Phillips 66
MSI,515,352,325,A,BB,BB,Motorola Solutions
CMG,215,205,213,B,B,B,Chipotle Mexican Grill
HPQ,245,200,212,B,B,B,HP Inc.
HLT,342,220,223,BB,B,B,Hilton Worldwide Holdings Inc.
CDNS,540,275,310,A,BB,B,Cadence Design Systems
MCK,500,330,320,A,BB,BB,McKesson Corporation
KMI,485,364,341,BBB,BB,BB,Kinder Morgan
CTAS,500,300,300,A,BB,BB,Cintas Corporation
RSG,286,226,270,B,B,B,Republic Services
SYY,545,295,353,A,BB,B,Sysco Corporation
AZO,220,200,214,B,B,B,AutoZone
MCHP,500,300,297,A,B,BB,Microchip Technology Incorporated
PH,315,220,303,BB,BB,B,Parker-Hannifin Corporation
A,313,210,224,BB,B,B,Agilent Technologies
CARR,210,226,258,B,B,B,Carrs Group plc
IDXX,553,305,401,A,BBB,BB,IDEXX Laboratories
DD,620,315,320,AA,BB,BB,DuPont de Nemours
TT,700,330,375,AA,BB,BB,Trane Technologies plc
HSY,510,305,300,A,BB,BB,The Hershey Company
MSCI,535,300,300,A,BB,BB,MSCI Inc.
TRV,500,300,300,A,BB,BB,The Travelers Companies
GPN,315,273,311,BB,BB,B,Global Payments Inc.
AFL,468,235,300,BBB,BB,B,Aflac Incorporated
DLR,545,320,309,A,BB,BB,Digital Realty Trust
GIS,505,308,321,A,BB,BB,General Mills
ADM,700,318,358,AA,BB,BB,Archer-Daniels-Midland Company
PRU,405,315,326,BBB,BB,BB,Prudential Financial
BAX,500,300,319,A,BB,BB,Baxter International Inc.
LHX,447,260,264,BBB,B,B,L3Harris Technologies
SRE,665,313,365,AA,BB,BB,Sempra Energy
SNPS,570,305,310,A,BB,BB,Synopsys
FTNT,590,300,303,A,BB,BB,Fortinet
STZ,411,280,301,BBB,BB,B,Constellation Brands
MPC,482,300,450,BBB,BBB,BB,Marathon Petroleum Corporation
IQV,398,326,302,BB,BB,BB,IQVIA Holdings Inc.
CNC,528,310,308,A,BB,BB,Centene Corporation
DOW,200,200,204,B,B,B,Dow Inc.
ROP,570,340,330,A,BB,BB,Roper Technologies
TEL,200,200,200,B,B,B,TE Connectivity Ltd.
APH,518,485,302,A,BB,BBB,Amphenol Corporation
AEP,500,300,300,A,BB,BB,Anglo-Eastern Plantations Plc
KMB,525,315,362,A,BB,BB,Kimberly-Clark Corporation
AIG,540,300,305,A,BB,BB,American International Group
INFO,580,300,304,A,BB,BB,IHS Markit Ltd.
SPG,260,215,270,B,B,B,Simon Property Group
DG,270,200,248,B,B,B,Dollar General Corporation
BK,500,300,300,A,BB,BB,The Bank of New York Mellon Corporation
NEM,403,305,343,BBB,BB,BB,Newmont Corporation
HUM,235,240,305,B,BB,B,Humana Inc.
JCI,500,290,300,A,BB,B,Johnson Controls International plc
PXD,513,340,413,A,BBB,BB,Pioneer Natural Resources Company
ECL,540,305,339,A,BB,BB,Ecolab Inc.
EMR,600,315,322,AA,BB,BB,Emerson Electric Co.
FCX,360,300,305,BB,BB,BB,Freeport-McMoRan Inc.
SLB,545,220,306,A,BB,B,Schlumberger Limited
KLAC,500,300,300,A,BB,BB,KLA Corporation
EXC,632,323,512,AA,A,BB,Exelon Corporation
MET,570,305,300,A,BB,BB,MetLife
AON,300,243,331,BB,BB,B,Aon Plc
GD,500,300,303,A,BB,BB,General Dynamics Corporation
NOC,500,300,304,A,BB,BB,Northrop Grumman Corporation
MRNA,500,300,300,A,BB,BB,Moderna
COF,505,325,322,A,BB,BB,Capital One Financial Corporation
MCO,505,245,311,A,BB,B,Moodys Corporation
PSA,240,205,257,B,B,B,Public Storage
APD,700,300,368,AA,BB,BB,Air Products and Chemicals
WM,647,290,395,AA,BB,B,Waste Management
EQIX,540,320,365,A,BB,BB,Equinix
BSX,510,300,424,A,BBB,BB,Boston Scientific Corporation
ETN,520,300,307,A,BB,BB,Eaton Corporation plc
