timestamp,shallow_preds,svm_preds,gbc_preds,lr_preds,deep_preds,sgdc_preds,mean,signal,entry/exit,close,position,entry/exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
2022-01-04 00:00:00+00:00,0.4133036,-1,-1,-1,-0.8216002,-1,-0.7347160975138346,-1.0,-1.0,61.4,-274.82,-274.82,-16873.95,31437.67,14563.72,-0.0,1.1204
2022-01-05 00:00:00+00:00,0.9282705,1,-1,1,-0.5079469,1,0.40338726838429767,0.0,1.0,60.64,0.0,274.82,0.0,14772.59,14772.59,0.0143,1.1365
2022-01-06 00:00:00+00:00,0.9381121,1,-1,1,-0.9971704,1,0.3234902818997701,0.0,0.0,61.65,0.0,0.0,0.0,14772.59,14772.59,0.0,1.1365
2022-01-07 00:00:00+00:00,0.73657596,-1,-1,-1,0.47399357,-1,-0.46490507821242016,-1.0,-1.0,62.46,-274.82,-274.82,-17165.26,31937.85,14772.59,0.0,1.1365
2022-01-10 00:00:00+00:00,0.40628737,-1,-1,1,-0.93955827,1,-0.08887848258018494,0.0,1.0,60.78,0.0,274.82,0.0,15234.29,15234.29,0.0313,1.172
2022-01-11 00:00:00+00:00,0.1820155,-1,-1,-1,-0.9548077,-1,-0.79546536753575,-1.0,-1.0,62.48,-274.82,-274.82,-17170.75,32405.04,15234.29,0.0,1.172
2022-01-12 00:00:00+00:00,-0.38546443,-1,-1,-1,-0.94134945,-1,-0.8878023127714793,-1.0,0.0,62.5,-274.82,0.0,-17176.25,32405.04,15228.79,-0.0004,1.1716
2022-01-13 00:00:00+00:00,0.5537573,-1,-1,1,-0.9058185,1,-0.05867686867713928,0.0,1.0,61.65,0.0,274.82,0.0,15462.39,15462.39,0.0153,1.1895
2022-01-14 00:00:00+00:00,-0.5231101,-1,-1,-1,-0.983009,-1,-0.9176865120728811,-1.0,-1.0,62.61,-274.82,-274.82,-17206.48,32668.87,15462.39,0.0,1.1895
2022-01-18 00:00:00+00:00,-0.24235858,1,-1,1,-0.24214983,1,0.2525819316506386,0.0,1.0,61.42,0.0,274.82,0.0,15789.42,15789.42,0.0212,1.2147
2022-01-19 00:00:00+00:00,0.34268484,1,-1,1,-0.995023,1,0.22461030383904776,0.0,0.0,60.21,0.0,0.0,0.0,15789.42,15789.42,0.0,1.2147
2022-01-20 00:00:00+00:00,0.5252591,1,-1,-1,-0.99601954,-1,-0.41179341077804565,0.0,0.0,59.39,0.0,0.0,0.0,15789.42,15789.42,0.0,1.2147
2022-01-21 00:00:00+00:00,0.74281627,1,-1,1,0.01987177,1,0.4604480064784487,1.0,1.0,58.53,274.82,274.82,16085.21,-295.7900000000009,15789.42,0.0,1.2147
2022-01-24 00:00:00+00:00,0.7027629,1,-1,1,-0.39676932,1,0.3843322644631068,0.0,-1.0,58.63,0.0,-274.82,0.0,15816.91,15816.91,0.0017,1.2168
2022-01-25 00:00:00+00:00,-0.061393518,-1,-1,-1,-0.9409097,-1,-0.8337172002842029,-1.0,-1.0,59.59,-274.82,-274.82,-16376.52,32193.43,15816.91,0.0,1.2168
2022-01-26 00:00:00+00:00,0.5735485,1,-1,1,-0.44410282,1,0.35490761200586957,0.0,1.0,59.85,0.0,274.82,0.0,15745.45,15745.45,-0.0045,1.2113
2022-01-27 00:00:00+00:00,-0.01808797,-1,-1,-1,-0.8914111,-1,-0.8182498492921392,-1.0,-1.0,60.17,-274.82,-274.82,-16535.92,32281.37,15745.45,0.0,1.2113
2022-01-28 00:00:00+00:00,-0.25401914,1,-1,1,-0.8922766,1,0.14228404561678568,0.0,1.0,59.29,0.0,274.82,0.0,15987.29,15987.29,0.0154,1.2299
2022-01-31 00:00:00+00:00,0.7371366,-1,-1,1,-0.94114345,1,-0.03400114178657532,0.0,0.0,60.68,0.0,0.0,0.0,15987.29,15987.29,0.0,1.2299
2022-02-01 00:00:00+00:00,0.021827443,-1,-1,-1,-0.8725243,-1,-0.8084494797512889,-1.0,-1.0,61.87,-274.82,-274.82,-17003.11,32990.41,15987.3,0.0,1.2299
2022-02-02 00:00:00+00:00,-0.9029526,-1,-1,-1,-0.7035156,-1,-0.934411366780599,-1.0,0.0,62.89,-274.82,0.0,-17283.43,32990.41,15706.98,-0.0175,1.2084
2022-02-03 00:00:00+00:00,0.74789715,-1,-1,-1,-0.96754116,-1,-0.703274001677831,-1.0,0.0,62.07,-274.82,0.0,-17058.08,32990.41,15932.33,0.0143,1.2257
2022-02-04 00:00:00+00:00,0.70137906,-1,-1,1,-0.97692907,1,-0.0459250013033549,0.0,1.0,62.89,0.0,274.82,0.0,15706.98,15706.98,-0.0141,1.2084
2022-02-07 00:00:00+00:00,0.8229389,-1,-1,1,-0.98176867,-1,-0.3598049581050873,0.0,0.0,63.26,0.0,0.0,0.0,15706.98,15706.98,0.0,1.2084
2022-02-08 00:00:00+00:00,0.25328535,-1,-1,-1,-0.9793281,-1,-0.7876737912495931,-1.0,-1.0,62.73,-274.82,-274.82,-17239.46,32946.44,15706.98,0.0,1.2084
2022-02-09 00:00:00+00:00,0.627187,0,0,0,0.0,0,0.1045311689376831,0.0,1.0,63.64,0.0,274.82,0.0,15456.89,15456.89,-0.0159,1.1892
